account_id,source_game_id,champion,game_id_list,begin_time,end_time
F8s8HjfNg8ZMfBtrs8iFlvmZxrQULgNnSutJwJqhKi2uZz4,3678074561,110,"[3678074561, 3678080681]",1603219041766,1606243041766
huyYdx2SzkeuruEAmJILi-7UpBv6fS64PW7LfhjbXhnrT3Q,3678074561,38,"[3678074561, 3640543224, 3640128299, 3639639183]",1603219041766,1606243041766
WvvXax7orcfEtP-Pp_8E-McJS2cd78-QhDjA-2o5PFuTfzBxS4GrIYm1,3678074561,82,"[3678074561, 3676924620, 3676791968]",1603823841766,1606243041766
NWSEB6cn41MouHz31QPxG_drBLPK4t2prPmLPw9oppDjemY,3678074561,121,"[3678074561, 3675595088, 3672314031, 3670952053, 3663514745, 3662577076]",1604428641766,1606243041766
lyre9_vbWLesYwTDG9fjUvQOLU8UMFSwWBBl0uIvv_R8Myc,3678074561,267,"[3678074561, 3677057746, 3676999499, 3676739953, 3675628099, 3675621434, 3672121805, 3671084441, 3670967715, 3670897053, 3670798215, 3670639578, 3669971523, 3669606172, 3668111890]",1605033441766,1606243041766
lBeH9H5LBcMbpL21L7M9jl3u6Yx1DiJR6A-Ln9sBY9BbV1s,3678074561,202,"[3678074561, 3678080681, 3677062518, 3676952082, 3676924620, 3672193177, 3668454666]",1605033441766,1606243041766
ttb3yPA6vS5mKqFJXKMInhub5TzR_fZ_f6X2xlANb7foCg,3678074561,10,[3678074561],1602614241766,1606243041766
AYEQEstBWQ2dNZGsyvyEPs3iiWfmDbk2_1B9T6rQKPZ0Bw,3678074561,20,"[3678074561, 3666650401, 3637489913, 3637365915]",1603219041766,1606243041766
V3aZbq2f3yc9aAlpiAQRNhCGu44UdegPTRodkD2Cgi1u5cp7ry55ggVw,3678074561,245,"[3678074561, 3675869229, 3675796988, 3675755087, 3674628139, 3674581478, 3673103792, 3672657943, 3670843989, 3670153045, 3668561527]",1605033441766,1606243041766
WBywqy6vbqhMvvr2Q1FatJATDUhW-lcYIe6ZszHZVDnoiTU,3664021163,498,"[3664021163, 3663810713]",1602384369097,1605408369097
MrG_V9xJZzJPdmpmgYNHkedNj9xEQC6gWJRCTcVLFUKeow,3664021163,112,"[3664021163, 3662194940, 3660565676, 3659181837, 3658581286]",1604198769097,1605408369097
XEUrySjxBWC2Q6QwUzk9KaDdOy1qUlloEicKj1AR2-PGg-A,3664021163,497,[3664021163],1601779569097,1605408369097
iryc62TD6sSNUaV-6XOo7-2yktkrg9Kf8hS20WNZLit-JQd-Kf-sdUR9,3664021163,24,"[3664021163, 3663993242, 3663908994, 3663809407, 3663819783, 3662878522, 3662698500, 3662691628, 3661999454, 3662005582, 3661210094, 3661028701, 3660031810, 3659969167, 3657705080, 3657639320, 3657651579]",1604198769097,1605408369097
GFfTeuecIeaOq5sC8wbatiM5wtHMZORGzFn19cQX4THKDLo,3664021163,113,"[3664021163, 3663819783, 3663722808, 3662577076, 3662112935, 3661981132, 3661964225, 3661001317, 3660739926, 3660586096, 3660440647, 3659240916, 3658572199, 3655676957, 3655403891, 3655279506, 3654218223, 3653918352, 3653800101, 3653680293, 3652687713]",1604198769097,1605408369097
S_JPndaQOoMoahk50nRKyntyXRDHztVHROg_lYvEYFt8eXEmzMPDZlf9,3664021163,107,"[3664021163, 3661240750, 3661060323, 3661001317, 3660861512, 3660747671, 3660642660, 3660586096, 3659866172, 3659860225, 3659726047]",1604198769097,1605408369097
KoE2Bw_dyP3Fa8_XuoJPmAI9LW51Td2QzN4oqziM6xBQULz_H__5V7dg,3664021163,131,"[3664021163, 3663819783, 3663722808, 3663687793, 3663702913, 3663596862, 3663514745, 3663510001, 3662601557, 3662530236, 3662490034, 3662391185, 3662303879, 3662238373, 3662144404, 3661964225, 3661920651, 3661068214, 3660999522, 3660981051, 3660861512, 3660804766, 3660721272, 3660642660, 3660585836, 3660571061, 3660505380, 3660551098, 3660492992, 3660408835, 3660375558, 3660371786, 3660067639, 3660082901, 3659537462, 3659521130, 3659464852, 3659351632, 3659240916, 3659107054, 3659058737, 3658685879, 3658730052, 3658641488, 3658525732, 3658520361, 3656709951, 3656674326, 3656027646, 3655882595, 3655714709, 3655646907, 3655650410, 3655522619, 3655458177, 3655422403, 3655416261, 3655316786, 3655293250, 3655276566, 3655171220, 3654627733, 3654611605, 3654521711, 3654208220, 3654220729, 3653972563, 3653807249, 3653728167, 3653722284, 3653639272, 3653642752, 3653575028, 3653509182, 3653487069, 3653511594, 3653408860, 3653402048, 3653375254, 3653020877, 3652934529, 3652838399, 3652871658, 3652785754, 3652706547, 3652637623]",1604198769097,1605408369097
huyYdx2SzkeuruEAmJILi-7UpBv6fS64PW7LfhjbXhnrT3Q,3664021163,202,"[3664021163, 3653022153, 3652697864, 3652720454, 3652354350, 3650562708, 3646252271, 3646226477]",1603593969097,1605408369097
swytkw609pMDqMMmIpdeIfSZpl6yEz-HouLL8oL-TuicoA,3664021163,412,"[3664021163, 3663765023, 3663687793, 3662604070, 3662530236, 3661166153, 3660861512, 3659708696]",1604198769097,1605408369097
69MPM6Ns9WYbwRHHyF2YIWvJY1wl0pSIF1hjprUpEtmURQ,3664021163,8,"[3664021163, 3651245867, 3649775987, 3649321936, 3648309515, 3646668602, 3646139564, 3644713396, 3643444340, 3643307604, 3642333892]",1603593969097,1605408369097
